"","year","country","emissions_CDIAC","emissions_UNFCCC","consum_emissions_UNFCCC","transfers_UNFCCC"
"142",1962,"DENMARK",10.07,10.07,NA,NA
"143",1962,"ESTONIA",2.89893255664606,2.89893255664606,NA,NA
"144",1962,"FINLAND",4.584,4.584,NA,NA
"145",1962,"FRANCE.(INCLUDING.MONACO)",81.458,81.458,NA,NA
"146",1962,"GERMANY",241.077,241.077,NA,NA
"147",1962,"GREECE",2.772,2.772,NA,NA
"148",1962,"HUNGARY",13.788,13.788,NA,NA
"149",1962,"INDIA",39.124,39.124,NA,NA
"150",1962,"INDONESIA",6.271,6.271,NA,NA
"151",1962,"IRELAND",3.578,3.578,NA,NA
"152",1962,"ITALY.(INCLUDING.SAN.MARINO)",39.939,39.939,NA,NA
"153",1962,"JAPAN",79.962,79.962,NA,NA
"154",1962,"LATVIA",1.70672285108232,1.70672285108232,NA,NA
"155",1962,"LITHUANIA",2.79214680946296,2.79214680946296,NA,NA
"156",1962,"LUXEMBOURG",3.15,3.15,NA,NA
"157",1962,"MALTA",0.09,0.09,NA,NA
"158",1962,"MEXICO",17.401,17.401,NA,NA
"159",1962,"NETHERLANDS",22.732,22.732,NA,NA
"160",1962,"POLAND",59.126,59.126,NA,NA
"161",1962,"PORTUGAL",2.537,2.537,NA,NA
"162",1962,"ROMANIA",17.42,17.42,NA,NA
"163",1962,"RUSSIAN.FEDERATION",262.44469587893,262.44469587893,NA,NA
"164",1962,"SAUDI.ARABIA",1.706,1.706,NA,NA
"165",1962,"SLOVAKIA",9.97285271939676,9.97285271939676,NA,NA
"166",1962,"SLOVENIA",1.43168284789644,1.43168284789644,NA,NA
"167",1962,"SOUTH.AFRICA",28.843,28.843,NA,NA
"168",1962,"SPAIN",16.377,16.377,NA,NA
"169",1962,"SWEDEN",13.997,13.997,NA,NA
"170",1962,"TURKEY",5.899,5.899,NA,NA
"171",1962,"UNITED.KINGDOM",161.811,161.811,NA,NA
"172",1962,"UNITED.STATES.OF.AMERICA",814.619,814.619,NA,NA
"173",1963,"ARGENTINA",13.658,13.658,NA,NA
"174",1963,"AUSTRALIA",27.551,27.551,NA,NA
"175",1963,"AUSTRIA",10.088,10.088,NA,NA
"176",1963,"BELGIUM",28.847,28.847,NA,NA
"177",1963,"BRAZIL",15.167,15.167,NA,NA
"178",1963,"BULGARIA",9.384,9.384,NA,NA
"179",1963,"CANADA",57.57,57.57,NA,NA
"180",1963,"CHINA.(MAINLAND)",119.088,119.088,NA,NA
"181",1963,"CROATIA",2.14075416820286,2.14075416820286,NA,NA
"182",1963,"CYPRUS",0.269,0.269,NA,NA
"183",1963,"CZECH.REPUBLIC",32.9243186467191,32.9243186467191,NA,NA
"184",1963,"DEMOCRATIC.PEOPLE.S.REPUBLIC.OF.KOREA",8.962,8.962,NA,NA
"185",1963,"DENMARK",11.101,11.101,NA,NA
"186",1963,"ESTONIA",3.10891641746508,3.10891641746508,NA,NA
"187",1963,"FINLAND",5.279,5.279,NA,NA
"188",1963,"FRANCE.(INCLUDING.MONACO)",91.088,91.088,NA,NA
"189",1963,"GERMANY",258.089,258.089,NA,NA
"190",1963,"GREECE",3.343,3.343,NA,NA
"191",1963,"HUNGARY",15.348,15.348,NA,NA
"192",1963,"INDIA",42.019,42.019,NA,NA
"193",1963,"INDONESIA",6.213,6.213,NA,NA
"194",1963,"IRELAND",3.671,3.671,NA,NA
"195",1963,"ITALY.(INCLUDING.SAN.MARINO)",44.936,44.936,NA,NA
"196",1963,"JAPAN",88.689,88.689,NA,NA
"197",1963,"LATVIA",1.83034913303797,1.83034913303797,NA,NA
"198",1963,"LITHUANIA",2.99439565643264,2.99439565643264,NA,NA
"199",1963,"LUXEMBOURG",3.122,3.122,NA,NA
"200",1963,"MALTA",0.112,0.112,NA,NA
"201",1963,"MEXICO",18.097,18.097,NA,NA
"202",1963,"NETHERLANDS",24.878,24.878,NA,NA
"203",1963,"POLAND",63.054,63.054,NA,NA
"204",1963,"PORTUGAL",2.734,2.734,NA,NA
"205",1963,"ROMANIA",18.961,18.961,NA,NA
"206",1963,"RUSSIAN.FEDERATION",281.454848552469,281.454848552469,NA,NA
"207",1963,"SAUDI.ARABIA",1.894,1.894,NA,NA
"208",1963,"SLOVAKIA",10.4906813532809,10.4906813532809,NA,NA
"209",1963,"SLOVENIA",1.59269489164721,1.59269489164721,NA,NA
"210",1963,"SOUTH.AFRICA",29.95,29.95,NA,NA
"211",1963,"SPAIN",16.041,16.041,NA,NA
"212",1963,"SWEDEN",15.1,15.1,NA,NA
"213",1963,"TURKEY",6.182,6.182,NA,NA
"214",1963,"UNITED.KINGDOM",164.664,164.664,NA,NA
"215",1963,"UNITED.STATES.OF.AMERICA",850.622,850.622,NA,NA
"216",1964,"ARGENTINA",15.197,15.197,NA,NA
"217",1964,"AUSTRALIA",29.719,29.719,NA,NA
"218",1964,"AUSTRIA",10.62,10.62,NA,NA
"219",1964,"BELGIUM",28.269,28.269,NA,NA
"220",1964,"BRAZIL",15.472,15.472,NA,NA
"221",1964,"BULGARIA",11.689,11.689,NA,NA
"222",1964,"CANADA",64.849,64.849,NA,NA
"223",1964,"CHINA.(MAINLAND)",119.15,119.15,NA,NA
"224",1964,"CROATIA",2.4253761009381,2.4253761009381,NA,NA
"225",1964,"CYPRUS",0.273,0.273,NA,NA
"226",1964,"CZECH.REPUBLIC",34.2651039828333,34.2651039828333,NA,NA
"227",1964,"DEMOCRATIC.PEOPLE.S.REPUBLIC.OF.KOREA",9.724,9.724,NA,NA
"228",1964,"DENMARK",11.778,11.778,NA,NA
"229",1964,"ESTONIA",3.30633731515297,3.30633731515297,NA,NA
"230",1964,"FINLAND",6.232,6.232,NA,NA
"231",1964,"FRANCE.(INCLUDING.MONACO)",94.165,94.165,NA,NA
"232",1964,"GERMANY",264.486,264.486,NA,NA
"233",1964,"GREECE",3.606,3.606,NA,NA
